,suburb,latitude,longitude,distance
0,Acacia Ridge,-27.583333,153.033333,12.610155904671403
1,Albion,-27.431944,153.046111,4.676972088061202
2,Alderley,-27.423889,153.005,5.459540567054027
3,Algester,-27.611389,153.033611,15.715396551992939
4,Annerley,-27.5138962,153.0309346,4.923209595381739
5,Anstead,-27.544722,152.866111,17.771516779509714
6,Archerfield,-27.568333,153.024167,10.922268764418964
7,Ascot,-27.431944,153.065,5.754053139562659
8,Ashgrove,-27.445278,152.991944,4.257129052727189
9,Aspley,-27.3639,153.0157,11.76849537379133
10,Auchenflower,-27.475556,152.991667,3.3682940727772195
11,Bald Hills,-27.3175935,153.010807,16.922064662783857
12,Balmoral,-27.453889,153.066944,4.492817045910698
13,Banks Creek,-27.4126335,152.7254758,30.293562881868546
14,Banyo,-27.3796668,153.0812456,11.422950431698256
15,Bardon,-27.4612,152.9748,5.0639785282603285
16,Bellbowrie,-27.566667,152.883333,17.649964171819622
17,Belmont,-27.506309,153.1375225,11.82250684721449
18,Boondall,-27.3533586,153.0606302,13.368978194917606
19,Bowen Hills,-27.443194,153.038389,3.2237334822149366
20,Bracken Ridge,-27.3237467,153.0266071,16.18155466767365
21,Bridgeman Downs,-27.355,152.9942,13.080238036724104
22,Brighton,-27.299,153.057,19.18392548242062
23,Brisbane Airport,-27.3942144,153.1218303,12.709168704000966
24,Brisbane CBD,-27.4697707,153.0251235,0.0
25,Brookfield,-27.4919,152.8979,12.810292314132745
26,Bulimba,-27.45,153.058,3.9192687623198577
27,Burbank,-27.6135731,153.1225419,18.61499290514463
28,Calamvale,-27.623889,153.05,17.25402982293125
29,Camp Hill,-27.501,153.079,6.350134318528275
30,Cannon Hill,-27.473,153.097,7.113113095811879
31,Carina,-27.485833,153.1,7.611228384469262
32,Carina Heights,-27.507,153.093,7.874815406856268
33,Carindale,-27.5198367,153.1125044,10.263381555567948
34,Carseldine,-27.3459018,153.0124899,13.782654231531016
35,Chandler,-27.514,153.156,13.830647007491924
36,Chapel Hill,-27.50093,152.94685,8.471019152944976
