,suburb,latitude,longitude,distance
0,Abbotsbury,-33.875,150.862,32.140194898995986
1,Abbotsford,-33.85215,151.12726,7.813137413124274
2,Acacia Gardens,-33.7322,150.917,31.01991109832614
3,Agnes Banks,-33.61529,150.71616,53.654920068339855
4,Airds,-34.0916,150.8249,43.27064010111897
5,Alexandria,-33.9080273,151.1902576,4.691974218808181
6,Alfords Point,-33.9848,151.02142,21.61655405208609
7,Allambie Heights,-33.7624,151.25,12.39096378263431
8,Allawah,-33.9749,151.1167,14.55208379428562
9,Ambarvale,-34.08333,150.80067,44.632546765032394
10,Angus,-33.863379,151.208151,0.6127035760764054
11,Annandale,-33.8814,151.1707,3.833811581979707
12,Annangrove,-33.65255,150.94096,34.545959567300336
13,Arcadia,-33.62429,151.04455,31.123321782125064
14,Arncliffe,-33.93915010000001,151.1478116,9.653704881410354
15,Arndell Park,-33.79,150.876,32.06759428209741
16,Artarmon,-33.8093311,151.185647,6.952023901782172
17,Ashbury,-33.8997098,151.1199309,8.949015967926922
18,Ashcroft,-33.91447,150.8987392,29.169890409615544
19,Ashfield,-33.8889,151.1249,8.119382846477922
20,Asquith,-33.689,151.105,22.161564925296794
21,Auburn,-33.8605837,151.02475,17.100595684775694
22,Austral,-33.93109,150.79361,39.06343761284412
23,Avalon Beach,-33.6302836,151.3297698,28.7162571712399
24,Badgerys Creek,-33.8828765,150.7608502,41.51895197539847
25,Balgowlah,-33.79645,151.25854,9.23116827236898
26,Balgowlah Heights,-33.8072234,151.2641654,8.513107233780337
27,Balmain,-33.85895,151.17906,3.0043071691262404
28,Balmain East,-33.85811,151.19017,2.1314515849027433
29,Bangor,-34.01908,151.02735,23.679197917844096
30,Banksia,-33.94776,151.14806,10.427968545029344
31,Banksmeadow,-33.95731,151.20699,9.817731746715259
32,Bankstown,-33.91817,151.03497,17.028882350547057
33,Bankstown Aerodrome,-33.9216102,150.9860137,21.467165802328697
34,Barangaroo,-33.8637941,151.2022304,0.8591272826680553
35,Barden Ridge,-34.032,151.01,25.826489304037793
36,Bardia,-33.9782167,150.8578648,34.68756568333398
37,Bardwell Park,-33.93539,151.12541,10.71073957957227
38,Bardwell Valley,-33.937,151.133,10.343493975910164
39,Bass Hill,-33.90092,150.9949,20.15062749341937
40,Baulkham Hills,-33.7619106,150.9929255,23.279099929616365
41,Bayview,-33.658,151.288,24.49408018591645
42,Beacon Hill,-33.7522,151.256,13.63901975807829
43,Beaconsfield,-33.91096,151.19995,4.753490577006289
44,Beaumont Hills,-33.7,150.941,31.114286563823867
45,Beecroft,-33.7511096,151.0651688,18.66941654348693
46,Belfield,-33.905,151.084,12.265800966501633
47,Bella Vista,-33.7385583,150.9502708,28.000529182613995
48,Bellevue Hill,-33.88101,151.25253,4.222410301404146
49,Belmore,-33.919672,151.0896126,12.424703256036178
50,Belrose,-33.73,151.22,15.429583787345315
51,Berala,-33.87487,151.03073,16.535090201503646
52,Berkshire Park,-33.6886,150.78165,44.368246727362056
53,Berowra,-33.62797380000001,151.1480265,27.310645850817178
54,Berowra Creek,-33.6246572,151.1136553,28.495000659842
55,Berowra Heights,-33.61334,151.138,29.097156224766355
56,Berowra Waters,-33.602344,151.120659,30.676963295064425
57,Berrilee,-33.61547,151.09811,29.9301139854102
58,Beverley Park,-33.97897,151.1285,14.321095678088334
59,Beverly Hills,-33.9488484,151.0803942,14.863172105883757
60,Bexley,-33.9525324,151.1226904,12.26253995152041
61,Bexley North,-33.9418,151.1114,12.14519278213416
62,Bickley Vale,-34.08,150.665,55.48653168156942
63,Bidwill,-33.7315556,150.8231418,38.864381367052665
64,Bilgola Beach,-33.6444858,151.3275826,27.189083284924
65,Bilgola Plateau,-33.6429152,151.3137307,26.860127078248393
66,Birchgrove,-33.85275,151.18024,3.2258335559498663
67,Birrong,-33.893,151.023,17.442292359144037
68,Blackett,-33.73934,150.81266,39.435122038032056
69,Blacktown,-33.76680690000001,150.905298,30.33394438499585
70,Blair Athol,-34.063,150.8,43.52994783054791
71,Blairmount,-34.04881,150.78734,43.81406774501228
72,Blakehurst,-33.9897654,151.1080239,16.360091317611317
73,Bligh Park,-33.638,150.799,45.83165571384122
74,Bondi,-33.8914755,151.2766845,6.721863175851019
75,Bondi Beach,-33.8914755,151.2766845,6.721863175851019
76,Bondi Junction,-33.89145,151.2497,4.502610980728058
77,Bonnet Bay,-34.01025,151.05238,21.367047726385614
78,Bonnyrigg,-33.89812,150.89006,29.710990800800598
79,Bonnyrigg Heights,-33.89112,150.87206,31.297068942748883
80,Bossley Park,-33.86341,150.88364,30.138693392425736
81,Botany,-33.9469267,151.1973167,8.734229922338276
82,Bow Bowing,-34.01853,150.83816,38.11728130942668
83,Box Hill,-33.65,150.88,38.984376865627176
84,Bradbury,-34.08734,150.81626,43.66507958647847
85,Breakfast Point,-33.844,151.1129,9.335583631407241
86,Brighton-Le-Sands,-33.9590873,151.1520593,11.325545648384365
87,Bringelly,-33.92178,150.73234,44.5067546994028
88,Bronte,-33.90532,151.26069,6.244610152733488
89,Brooklyn,-33.5483592,151.2149798,35.54846592446662
90,Brookvale,-33.7653,151.27041,12.800695622256239
91,Bundeena,-34.08341619999999,151.1515469,24.394342047827433
92,Bungarribee,-33.7778159,150.8638434,33.53561385223502
93,Burraneer,-34.06996,151.13664,23.299372161846392
94,Burwood,-33.8773941,151.1036621,9.819572192795247
95,Burwood Heights,-33.8902,151.1052,9.918094097721713
96,Busby,-33.91413000000001,150.88247,30.646938604685648
97,Cabarita,-33.84802,151.11485,9.03915874919631
98,Cabramatta,-33.8954675,150.9384081,25.234085568081216
99,Cabramatta West,-33.8947,150.915,27.3769489462409
100,Caddens,-33.7745325,150.7374139,44.91992237511481
101,Cambridge Gardens,-33.738,150.721,47.48596335499326
102,Cambridge Park,-33.748333,150.734444,45.953389758348784
103,Camden,-34.054444,150.695833,51.73139799563209
104,Camden South,-34.08539,150.70744,52.22855527844902
105,Camellia,-33.8194143,151.0333082,17.18533191935804
106,Cammeray,-33.8229724,151.2102367,5.086110445282508
107,Campbelltown,-34.0666148,150.8195571,42.175290352091125
108,Camperdown,-33.88622429999999,151.1791091,3.395058426854545
109,Campsie,-33.9130393,151.1040623,10.90024120259121
110,Canada Bay,-33.8671,151.1139,8.828766100806444
111,Canley Heights,-33.88502,150.9276,26.123719312974828
