,Suburb,Latitude,Longitude,Distance,Venue_Name,Venue_Type
0,Abbotsford,-33.85215,151.12726,7.813137413124274,The Cove Dining Co,Café
1,Abbotsford,-33.85215,151.12726,7.813137413124274,The Cove Dining Co,Café
2,Abbotsford,-33.85215,151.12726,7.813137413124274,Sydney Rowing Club,Sports Club
3,Abbotsford,-33.85215,151.12726,7.813137413124274,Orchid Thai,Thai Restaurant
4,Abbotsford,-33.85215,151.12726,7.813137413124274,Watergrill,Australian Restaurant
5,Abbotsford,-33.85215,151.12726,7.813137413124274,Trovatino Cafe,Café
6,Abbotsford,-33.85215,151.12726,7.813137413124274,IGA Abbotsford,Grocery Store
7,Abbotsford,-33.85215,151.12726,7.813137413124274,Dolcetti,Italian Restaurant
8,Abbotsford,-33.85215,151.12726,7.813137413124274,Angelo's On The Bay,Seafood Restaurant
9,Abbotsford,-33.85215,151.12726,7.813137413124274,"Greenwest Pools, Spas & Landscapes",Construction & Landscaping
10,Abbotsford,-33.85215,151.12726,7.813137413124274,Henry Lawson Park,Park
11,Abbotsford,-33.85215,151.12726,7.813137413124274,Explore & Develop,Child Care Service
12,Abbotsford,-33.85215,151.12726,7.813137413124274,Sistina Ristorante & Pizzeria,Pizza Place
13,Abbotsford,-33.85215,151.12726,7.813137413124274,Anime at Abbotsford,Hobby Shop
14,Abbotsford,-33.85215,151.12726,7.813137413124274,Lock Stock And Bottle,Wine Shop
15,Abbotsford,-33.85215,151.12726,7.813137413124274,Doughboy Pizza,Pizza Place
16,Abbotsford,-33.85215,151.12726,7.813137413124274,Cinnamon Thai Cuisine,Thai Restaurant
17,Abbotsford,-33.85215,151.12726,7.813137413124274,Zest Charcoal Chicken,Burger Joint
18,Abbotsford,-33.85215,151.12726,7.813137413124274,Vintage Cellars,Wine Shop
19,Abbotsford,-33.85215,151.12726,7.813137413124274,Carmel's,Café
20,Abbotsford,-33.85215,151.12726,7.813137413124274,Sapori Mediterranean Cusine,Italian Restaurant
21,Abbotsford,-33.85215,151.12726,7.813137413124274,The Rental Store,Business Service
22,Abbotsford,-33.85215,151.12726,7.813137413124274,Prince Edward Park,Park
23,Abbotsford,-33.85215,151.12726,7.813137413124274,Sydney Rowing Club - The Boatshed,Gym
24,Abbotsford,-33.85215,151.12726,7.813137413124274,Wharf Bayview Park,Boat or Ferry
25,Abbotsford,-33.85215,151.12726,7.813137413124274,Abbotsford Ferry Wharf,Pier
26,Abbotsford,-33.85215,151.12726,7.813137413124274,Campbell Park,Soccer Field
27,Abbotsford,-33.85215,151.12726,7.813137413124274,RG Dance Chiswick,Dance Studio
